iter	Passed	Remaining
0	250	250234
1	321	160243
2	388	129275
3	423	105495
4	455	90559
5	487	80690
6	512	72762
7	543	67412
8	575	63377
9	605	59982
10	635	57092
11	664	54725
12	695	52795
13	726	51190
14	757	49772
15	789	48574
16	819	47396
17	851	46439
18	879	45384
19	908	44534
20	940	43829
21	970	43141
22	1000	42488
23	1031	41949
24	1062	41448
25	1092	40925
26	1122	40441
27	1151	39984
28	1184	39667
29	1216	39326
30	1246	38962
31	1281	38764
32	1312	38466
33	1343	38166
34	1375	37934
35	1405	37633
36	1434	37347
37	1465	37087
38	1495	36846
39	1527	36671
40	1560	36501
41	1590	36275
42	1619	36040
43	1650	35857
44	1681	35682
45	1712	35523
46	1739	35278
47	1771	35126
48	1800	34936
49	1830	34771
50	1862	34652
51	1893	34526
52	1926	34425
53	1955	34263
54	1986	34134
55	2015	33983
56	2049	33911
57	2079	33773
58	2107	33611
59	2136	33476
60	2168	33379
61	2198	33257
62	2228	33151
63	2258	33028
64	2289	32929
65	2318	32809
66	2346	32682
67	2376	32573
68	2409	32505
69	2439	32416
70	2468	32303
71	2497	32196
72	2527	32092
73	2555	31981
74	2587	31911
75	2617	31827
76	2649	31753
77	2679	31674
78	2708	31576
79	2736	31475
80	2766	31391
81	2798	31326
82	2828	31254
83	2859	31183
84	2890	31113
85	2921	31051
86	2950	30959
87	2976	30852
88	3008	30791
89	3040	30747
90	3069	30665
91	3098	30581
92	3129	30519
93	3157	30434
94	3187	30362
95	3217	30301
96	3247	30228
97	3274	30140
98	3305	30087
99	3336	30028
100	3366	29966
101	3397	29912
102	3427	29845
103	3456	29779
104	3483	29694
105	3512	29622
106	3542	29565
107	3572	29504
108	3602	29446
109	3632	29387
110	3663	29339
111	3690	29263
112	3719	29196
113	3748	29136
114	3781	29099
115	3811	29047
116	3843	29008
117	3874	28958
118	3904	28905
119	3934	28855
120	3962	28786
121	3992	28732
122	4024	28692
123	4054	28640
124	4082	28579
125	4113	28530
126	4141	28471
127	4172	28426
128	4201	28368
129	4234	28336
130	4265	28296
131	4298	28264
132	4336	28266
133	4368	28232
134	4403	28216
135	4435	28176
136	4466	28137
137	4499	28105
138	4531	28071
139	4565	28045
140	4597	28009
141	4632	27988
142	4662	27942
143	4695	27911
144	4728	27880
145	4756	27824
146	4786	27776
147	4818	27736
148	4849	27699
149	4878	27647
150	4907	27594
151	4936	27543
152	4966	27496
153	4997	27455
154	5027	27407
155	5056	27359
156	5084	27302
157	5113	27251
158	5145	27214
159	5175	27170
160	5205	27126
161	5234	27078
162	5263	27027
163	5293	26983
164	5322	26934
165	5352	26892
166	5382	26846
167	5411	26800
168	5444	26770
169	5472	26719
170	5502	26675
171	5530	26625
172	5563	26593
173	5591	26542
174	5622	26504
175	5651	26459
176	5682	26423
177	5712	26379
178	5742	26339
179	5773	26302
180	5808	26281
181	5836	26234
182	5867	26194
183	5896	26148
184	5925	26105
185	5954	26060
186	5986	26025
187	6015	25982
188	6046	25947
189	6076	25903
190	6107	25867
191	6136	25825
192	6165	25782
193	6197	25749
194	6227	25708
195	6258	25671
196	6293	25651
197	6325	25622
198	6356	25585
199	6385	25541
200	6415	25502
201	6443	25453
202	6472	25411
203	6502	25373
204	6533	25335
205	6562	25294
206	6591	25252
207	6622	25215
208	6652	25179
209	6683	25142
210	6712	25099
211	6740	25054
212	6771	25018
213	6806	24998
214	6839	24970
215	6869	24933
216	6900	24898
217	6930	24860
218	6959	24820
219	6989	24780
220	7018	24738
221	7051	24712
222	7079	24666
223	7109	24627
224	7139	24590
225	7171	24561
226	7201	24522
227	7233	24490
228	7260	24445
229	7290	24406
230	7321	24372
231	7350	24332
232	7381	24297
233	7410	24259
234	7442	24228
235	7473	24195
236	7502	24152
237	7533	24118
238	7561	24076
239	7591	24038
240	7619	23995
241	7650	23964
242	7680	23925
243	7710	23891
244	7742	23858
245	7773	23827
246	7804	23792
247	7835	23760
248	7865	23721
249	7896	23688
250	7925	23650
251	7952	23605
252	7981	23565
253	8010	23527
254	8041	23495
255	8068	23449
256	8097	23411
257	8127	23374
258	8158	23342
259	8187	23304
260	8216	23264
261	8245	23225
262	8277	23196
263	8305	23155
264	8337	23125
265	8367	23089
266	8397	23054
267	8426	23015
268	8457	22981
269	8486	22945
270	8514	22903
271	8543	22866
272	8573	22830
273	8604	22799
274	8633	22762
275	8664	22728
276	8693	22691
277	8722	22653
278	8750	22613
279	8784	22588
280	8811	22547
281	8841	22510
282	8872	22479
283	8904	22448
284	8932	22409
285	8963	22378
286	8993	22341
287	9023	22309
288	9051	22269
289	9079	22230
290	9109	22193
291	9139	22160
292	9168	22124
293	9199	22091
294	9227	22053
295	9257	22018
296	9287	21983
297	9317	21948
298	9344	21908
299	9374	21874
300	9405	21841
301	9437	21811
302	9465	21772
303	9492	21732
304	9524	21704
305	9553	21666
306	9582	21631
307	9622	21618
308	9653	21587
309	9682	21551
310	9711	21514
311	9742	21483
312	9776	21457
313	9807	21425
314	9836	21389
315	9865	21353
316	9895	21320
317	9924	21283
318	9953	21247
319	9982	21212
320	10010	21175
321	10039	21139
322	10066	21099
323	10096	21065
324	10128	21036
325	10159	21003
326	10188	20968
327	10216	20931
328	10250	20905
329	10284	20880
330	10317	20852
331	10348	20820
332	10380	20791
333	10415	20769
334	10445	20736
335	10477	20705
336	10509	20676
337	10543	20649
338	10572	20615
339	10609	20595
340	10640	20563
341	10669	20528
342	10702	20500
343	10733	20467
344	10768	20443
345	10799	20413
346	10827	20376
347	10858	20344
348	10887	20308
349	10916	20272
350	10947	20241
351	10978	20210
352	11008	20176
353	11035	20138
354	11066	20107
355	11097	20074
356	11127	20042
357	11157	20009
358	11187	19974
359	11216	19940
360	11248	19910
361	11280	19881
362	11313	19852
363	11340	19815
364	11371	19783
365	11399	19747
366	11431	19716
367	11462	19685
368	11492	19653
369	11523	19620
370	11552	19586
371	11581	19551
372	11614	19522
373	11643	19489
374	11671	19452
375	11700	19418
376	11729	19382
377	11760	19352
378	11792	19321
379	11821	19287
380	11848	19250
381	11878	19217
382	11908	19184
383	11938	19150
384	11967	19116
385	11999	19087
386	12030	19056
387	12058	19020
388	12087	18985
389	12118	18954
390	12148	18921
391	12178	18888
392	12206	18854
393	12237	18821
394	12266	18787
395	12297	18756
396	12325	18720
397	12356	18690
398	12386	18656
399	12425	18638
400	12456	18607
401	12487	18575
402	12516	18541
403	12545	18507
404	12575	18475
405	12606	18443
406	12634	18408
407	12666	18379
408	12695	18345
409	12726	18314
410	12756	18281
411	12784	18246
412	12811	18209
413	12842	18177
414	12871	18143
415	12901	18111
416	12929	18076
417	12959	18043
418	12990	18013
419	13019	17979
420	13049	17946
421	13077	17911
422	13113	17887
423	13142	17853
424	13171	17820
425	13203	17791
426	13232	17757
427	13262	17724
428	13292	17691
429	13321	17658
430	13352	17627
431	13381	17593
432	13413	17564
433	13444	17533
434	13472	17499
435	13504	17468
436	13533	17436
437	13562	17401
438	13594	17372
439	13625	17341
440	13655	17308
441	13683	17274
442	13713	17242
443	13744	17211
444	13774	17179
445	13804	17146
446	13837	17119
447	13866	17085
448	13893	17050
449	13922	17016
450	13952	16984
451	13982	16952
452	14011	16919
453	14040	16885
454	14068	16851
455	14099	16820
456	14128	16787
457	14158	16754
458	14187	16722
459	14217	16690
460	14248	16659
461	14278	16627
462	14309	16596
463	14339	16564
464	14366	16529
465	14395	16496
466	14423	16462
467	14454	16430
468	14485	16400
469	14513	16366
470	14543	16334
471	14573	16302
472	14604	16272
473	14635	16240
474	14664	16208
475	14697	16179
476	14728	16148
477	14757	16115
478	14786	16083
479	14814	16049
480	14845	16018
481	14873	15984
482	14903	15952
483	14931	15918
484	14963	15888
485	14994	15858
486	15023	15825
487	15053	15793
488	15084	15763
489	15114	15731
490	15143	15698
491	15173	15667
492	15203	15635
493	15235	15605
494	15266	15575
495	15296	15543
496	15324	15509
497	15354	15477
498	15382	15444
499	15412	15412
500	15443	15382
501	15472	15349
502	15502	15317
503	15532	15285
504	15560	15252
505	15592	15222
506	15622	15191
507	15652	15159
508	15680	15125
509	15713	15097
510	15747	15069
511	15776	15037
512	15806	15005
513	15837	14974
514	15863	14939
515	15892	14907
516	15921	14874
517	15949	14841
518	15979	14809
519	16007	14775
520	16036	14743
521	16065	14711
522	16094	14678
523	16124	14647
524	16159	14620
525	16192	14592
526	16225	14563
527	16258	14534
528	16293	14506
529	16328	14480
530	16360	14450
531	16390	14419
532	16421	14388
533	16452	14357
534	16483	14326
535	16514	14295
536	16547	14267
537	16580	14238
538	16611	14207
539	16645	14179
540	16677	14149
541	16712	14122
542	16746	14094
543	16774	14061
544	16806	14031
545	16838	14001
546	16867	13969
547	16894	13935
548	16924	13903
549	16955	13872
550	16984	13840
551	17014	13808
552	17042	13775
553	17074	13745
554	17102	13713
555	17132	13681
556	17162	13649
557	17192	13618
558	17220	13585
559	17249	13552
560	17278	13521
561	17311	13491
562	17340	13459
563	17371	13428
564	17401	13397
565	17430	13365
566	17460	13334
567	17490	13302
568	17519	13270
569	17547	13237
570	17576	13205
571	17605	13173
572	17637	13143
573	17666	13111
574	17694	13078
575	17723	13046
576	17752	13014
577	17782	12982
578	17814	12953
579	17848	12924
580	17878	12893
581	17907	12861
582	17936	12829
583	17967	12798
584	18001	12770
585	18031	12739
586	18056	12704
587	18086	12672
588	18116	12641
589	18145	12609
590	18176	12578
591	18204	12546
592	18237	12517
593	18266	12485
594	18295	12453
595	18325	12422
596	18358	12392
597	18387	12360
598	18418	12330
599	18447	12298
600	18477	12266
601	18507	12235
602	18536	12204
603	18564	12171
604	18592	12139
605	18624	12109
606	18653	12077
607	18683	12046
608	18712	12014
609	18743	11983
610	18774	11952
611	18802	11920
612	18834	11890
613	18865	11859
614	18894	11828
615	18924	11797
616	18953	11765
617	18986	11735
618	19015	11704
619	19043	11671
620	19072	11640
621	19105	11610
622	19134	11578
623	19164	11547
624	19191	11515
625	19223	11484
626	19253	11454
627	19285	11423
628	19316	11393
629	19347	11362
630	19377	11331
631	19406	11299
632	19435	11268
633	19463	11236
634	19493	11205
635	19526	11175
636	19553	11142
637	19582	11111
638	19613	11080
639	19644	11050
640	19671	11017
641	19704	10988
642	19734	10956
643	19763	10925
644	19792	10893
645	19823	10863
646	19854	10832
647	19884	10801
648	19915	10771
649	19942	10738
650	19974	10708
651	20002	10676
652	20034	10646
653	20061	10613
654	20097	10585
655	20127	10554
656	20156	10523
657	20185	10491
658	20215	10460
659	20244	10429
660	20275	10398
661	20306	10367
662	20339	10338
663	20367	10306
664	20397	10275
665	20425	10243
666	20454	10212
667	20483	10180
668	20513	10149
669	20542	10117
670	20573	10087
671	20606	10058
672	20637	10027
673	20670	9998
674	20701	9967
675	20730	9936
676	20761	9905
677	20790	9874
678	20821	9843
679	20851	9812
680	20881	9781
681	20910	9750
682	20942	9720
683	20972	9689
684	21000	9657
685	21030	9626
686	21062	9596
687	21094	9566
688	21122	9534
689	21152	9503
690	21181	9472
691	21213	9441
692	21239	9409
693	21270	9378
694	21298	9346
695	21337	9319
696	21370	9290
697	21405	9261
698	21438	9231
699	21472	9202
700	21501	9171
701	21529	9139
702	21559	9108
703	21596	9080
704	21627	9049
705	21658	9019
706	21688	8988
707	21719	8957
708	21751	8927
709	21779	8895
710	21810	8865
711	21841	8834
712	21871	8803
713	21901	8772
714	21933	8742
715	21963	8711
716	21992	8680
717	22023	8649
718	22055	8619
719	22089	8590
720	22124	8561
721	22158	8531
722	22190	8501
723	22221	8471
724	22255	8441
725	22286	8411
726	22324	8383
727	22357	8353
728	22390	8323
729	22424	8294
730	22459	8264
731	22494	8235
732	22528	8206
733	22562	8176
734	22604	8150
735	22641	8121
736	22674	8091
737	22704	8060
738	22734	8029
739	22765	7998
740	22795	7967
741	22829	7938
742	22860	7907
743	22890	7876
744	22922	7846
745	22954	7815
746	22982	7783
747	23010	7752
748	23040	7721
749	23071	7690
750	23112	7663
751	23140	7631
752	23171	7600
753	23201	7569
